feature,importance
f_132,0.04286956492115853
f_059,0.03344100801856523
f_078,0.02614947631643599
f_511,0.02187555353553938
f_064,0.02089850525562259
f_086,0.020095281737041594
f_305,0.01955644279404041
f_129,0.019178671741701254
f_563,0.018919304077015336
f_120,0.017960548063526136
f_103,0.017782999910868784
f_060,0.01749692741054677
f_058,0.016961091787708486
f_068,0.01585174313918076
f_216,0.015222672166835044
f_169,0.015222583993539809
f_480,0.014840255579535926
f_562,0.01474897190911751
f_082,0.014474181557554077
f_301,0.01444645994929282
f_440,0.014443838006172683
f_548,0.01443562646441557
f_018,0.014277880210930197
f_056,0.013918601760586397
f_080,0.013827150660642442
f_047,0.01349180043118626
f_214,0.01306249027667275
f_500,0.013038293603712609
f_014,0.012985350686930672
f_017,0.012984239403259885
f_126,0.012593787994477523
f_045,0.012185783194733336
f_061,0.012031768663943586
f_020,0.011925746798090626
f_491,0.011805734597994551
f_488,0.011627004990411303
f_075,0.011575711099828008
f_124,0.01107242527481457
f_542,0.010868000522355195
f_091,0.01082374445735885
f_127,0.010418704533135542
f_030,0.010338946334814197
f_071,0.010337570050313223
f_303,0.010299916143464838
f_365,0.010254040045795922
f_037,0.010178772834272388
f_168,0.009952817680334026
f_490,0.009941183934279993
f_271,0.009731231719228184
f_419,0.009723059815024812
f_100,0.009711122705127412
f_415,0.009572734304157744
f_356,0.009541517193763763
f_011,0.009478852491985837
f_472,0.009440790753721263
f_118,0.009342206964800502
f_363,0.009220729795542951
f_104,0.009196483490989477
f_161,0.0091609550959365
f_028,0.009011836066629565
f_123,0.009006121025013396
f_121,0.008936770541320273
f_142,0.008856863404035511
f_348,0.008797961621961139
f_122,0.008774778414018391
f_062,0.008697668304146445
f_405,0.008659042583732124
f_423,0.00862201282503185
f_453,0.008527132621258416
f_188,0.008458812635069469
f_027,0.008457151656963594
f_213,0.008359182022718393
f_485,0.00835469125361262
f_311,0.008283731628038965
f_181,0.008127217715123635
f_413,0.008070771827917007
f_022,0.008064781118272924
f_272,0.007979711111378036
f_308,0.007958702976065688
f_349,0.007955585311425255
f_566,0.007948709920210146
f_587,0.007771215189644862
f_352,0.007715806897109752
f_588,0.007686290917453083
f_366,0.007641599436670829
f_296,0.007594648470287917
f_159,0.007562539715686057
f_145,0.0075319698103434125
f_499,0.007491468472475577
f_432,0.007393322653020906
f_051,0.007391337052137133
f_239,0.007360058761726226
f_025,0.007303036255674167
f_454,0.007236473774950823
f_139,0.0071378656289957315
f_357,0.007067586521493796
f_055,0.0070609192341781575
f_012,0.007048339394902478
f_254,0.007013317319065524
f_316,0.007002129936119101
f_094,0.006994940596132397
f_324,0.006989219629115057
f_571,0.006857544886386051
f_553,0.006813295055049136
f_162,0.006705584022715748
f_084,0.006668429732179715
f_268,0.006622725030218868
f_006,0.0066155162672569675
f_367,0.0065665794043565755
f_448,0.006445240536728957
f_439,0.00639105864953534
f_540,0.006356108191058108
f_029,0.006286192917151004
f_133,0.006247116908424328
f_526,0.006229714987354678
f_177,0.00622408497436196
f_438,0.006223666408816796
f_577,0.006203763574708877
f_211,0.006159063640700225
f_099,0.006158330713578682
f_115,0.006156299997190404
f_024,0.0061422286225527815
f_319,0.00605606028635649
f_096,0.005838042927956645
f_182,0.005827336810752845
f_138,0.005824090122587951
f_547,0.005753752606181405
f_417,0.005705629517485124
f_201,0.0057004963664250155
f_406,0.00567847475336472
f_021,0.005654860093070464
f_302,0.0055756535957323695
f_310,0.005563437998752245
f_095,0.005515161465953149
f_573,0.0054830442260191585
f_484,0.005455438751774835
f_000,0.005328812666652931
f_493,0.005309312372779683
