outer_fold,inner_fold,model,ap
0,0,rf_weighted_baseline,0.15355774156674215
0,1,rf_weighted_baseline,0.11676027385292945
0,2,rf_weighted_baseline,0.233246767816969
0,0,rf_missing,0.1649042267149141
0,1,rf_missing,0.11013167528178743
0,2,rf_missing,0.19049439556723555
0,0,rf_missing_pruned,0.14374002802883282
0,1,rf_missing_pruned,0.14715434685683845
0,2,rf_missing_pruned,0.1587537347776119
0,0,balanced_rf,0.1268267310613371
0,1,balanced_rf,0.17879369223945268
0,2,balanced_rf,0.23814028164945703
0,0,balanced_rf_missing,0.11523255855345174
0,1,balanced_rf_missing,0.10547897542896978
0,2,balanced_rf_missing,0.18436669131260935
0,0,balanced_rf_missing_leaf5,0.11403509074051905
0,1,balanced_rf_missing_leaf5,0.13681670405827387
0,2,balanced_rf_missing_leaf5,0.19397138216463714
1,0,rf_weighted_baseline,0.22343610042362141
1,1,rf_weighted_baseline,0.14741277638784173
1,2,rf_weighted_baseline,0.15503938490488567
1,0,rf_missing,0.2040099030233056
1,1,rf_missing,0.12900223580274534
1,2,rf_missing,0.23991023769370856
1,0,rf_missing_pruned,0.20069543974233742
1,1,rf_missing_pruned,0.1648526658912308
1,2,rf_missing_pruned,0.1530645944297077
1,0,balanced_rf,0.15329701705585824
1,1,balanced_rf,0.2194779070342601
1,2,balanced_rf,0.18282979377665926
1,0,balanced_rf_missing,0.17080040620964293
1,1,balanced_rf_missing,0.1491817953484144
1,2,balanced_rf_missing,0.1929932557427242
1,0,balanced_rf_missing_leaf5,0.16411471773535302
1,1,balanced_rf_missing_leaf5,0.1794716506490932
1,2,balanced_rf_missing_leaf5,0.2074732104890887
2,0,rf_weighted_baseline,0.1817640487285857
2,1,rf_weighted_baseline,0.1741554156008263
2,2,rf_weighted_baseline,0.1291786876590534
2,0,rf_missing,0.1536156251883936
2,1,rf_missing,0.20247680935877405
2,2,rf_missing,0.1067785227794211
2,0,rf_missing_pruned,0.14362013425279085
2,1,rf_missing_pruned,0.27146006117706084
2,2,rf_missing_pruned,0.1437351523183622
2,0,balanced_rf,0.20322721119726406
2,1,balanced_rf,0.17033775095302872
2,2,balanced_rf,0.12879105328534504
2,0,balanced_rf_missing,0.1529031412128421
2,1,balanced_rf_missing,0.1955437698932146
2,2,balanced_rf_missing,0.10945452697321639
2,0,balanced_rf_missing_leaf5,0.17084594683079293
2,1,balanced_rf_missing_leaf5,0.17342401624244674
2,2,balanced_rf_missing_leaf5,0.10412538277286636
3,0,rf_weighted_baseline,0.24339495950911824
3,1,rf_weighted_baseline,0.22610393070236368
3,2,rf_weighted_baseline,0.19851955289760428
3,0,rf_missing,0.24377150649566504
3,1,rf_missing,0.21859180568435255
3,2,rf_missing,0.21554138052923794
3,0,rf_missing_pruned,0.20566919475304848
3,1,rf_missing_pruned,0.20120373653543575
3,2,rf_missing_pruned,0.20666805226704849
3,0,balanced_rf,0.17833374279473893
3,1,balanced_rf,0.19963453136231096
3,2,balanced_rf,0.2043976398884348
3,0,balanced_rf_missing,0.20127968514004013
3,1,balanced_rf_missing,0.16575330146972977
3,2,balanced_rf_missing,0.19520092403946745
3,0,balanced_rf_missing_leaf5,0.19249032308654146
3,1,balanced_rf_missing_leaf5,0.15156821281917204
3,2,balanced_rf_missing_leaf5,0.19069661310589592
4,0,rf_weighted_baseline,0.24045995582687438
4,1,rf_weighted_baseline,0.1313834733012047
4,2,rf_weighted_baseline,0.13738600178540092
4,0,rf_missing,0.270367447538699
4,1,rf_missing,0.17066014528110324
4,2,rf_missing,0.18115622734947012
4,0,rf_missing_pruned,0.28333180099921906
4,1,rf_missing_pruned,0.1160233618852195
4,2,rf_missing_pruned,0.17421066231519272
4,0,balanced_rf,0.23894845017970842
4,1,balanced_rf,0.21449724607909848
4,2,balanced_rf,0.1229980641236661
4,0,balanced_rf_missing,0.23060389539325316
4,1,balanced_rf_missing,0.15489076972274016
4,2,balanced_rf_missing,0.1547348829337748
4,0,balanced_rf_missing_leaf5,0.2516528394687868
4,1,balanced_rf_missing_leaf5,0.16002210308631715
4,2,balanced_rf_missing_leaf5,0.14369051315485332
