outer_fold,selected_model,inner_mean_ap,threshold
0,balanced_rf,0.1812535683167489,0.42466666666666675
1,rf_missing,0.19097412550658652,0.0974857869905633
2,rf_missing_pruned,0.18627178258273794,0.10085542150140893
3,rf_missing,0.22596823090308518,0.10471790388345038
4,rf_missing,0.20739460672309082,0.09344631531272667
