outcome,n,mean_missing,median_missing,mean_score
false_negative,37,0.04269354099862575,0.04067796610169491,0.06361890368726819
false_positive,250,0.04709152542372881,0.04406779661016949,0.1226307132093469
true_negative,847,0.04560262541772557,0.04067796610169491,0.05739649216699676
true_positive,41,0.04100868127325341,0.04067796610169491,0.14015648890665436
