outer_fold,selected_model,ap,recall,precision,alert_rate
0,balanced_rf,0.24659075431850247,0.5333333333333333,0.13114754098360656,0.25957446808510637
1,rf_missing,0.24137824612800501,0.8666666666666667,0.23214285714285715,0.23829787234042554
2,rf_missing_pruned,0.20970576055609236,0.1875,0.0625,0.20425531914893616
3,rf_missing,0.21911226922214438,0.3125,0.1,0.2127659574468085
4,rf_missing,0.10851756586557243,0.3125,0.08196721311475409,0.25957446808510637
