model,outer_ap_mean,outer_ap_std,outer_recall_at_10,outer_recall_at_20,outer_recall_at_30,temporal_ap_mean,temporal_recall_at_30,temporal_threshold_recall,temporal_threshold_precision,passes_research_gate
balanced_rf,0.19234152140015934,0.04734674502109314,0.2841666666666667,0.4,0.5283333333333333,0.13057559674202687,0.4351851851851852,0.3055555555555555,0.060035842293906815,False
balanced_rf_missing,0.18715620333644392,0.0686011624603024,0.24583333333333335,0.4525,0.53,0.11431015046236415,0.3703703703703704,0.34259259259259256,0.05875886524822695,False
balanced_rf_missing_leaf5,0.1838611787960771,0.05411009529521588,0.26916666666666667,0.42666666666666664,0.5433333333333333,0.17269611089858383,0.3796296296296296,0.3425925925925926,0.04735778841041999,False
rf_missing,0.20579425943574195,0.07235944934893392,0.28500000000000003,0.45499999999999996,0.5566666666666666,0.1582309306470684,0.3796296296296296,0.3148148148148148,0.07722832722832723,False
rf_missing_pruned,0.1845973713497106,0.02648348504731369,0.24500000000000002,0.4141666666666667,0.5416666666666667,0.09628473575823075,0.5277777777777778,0.25,0.07275132275132275,False
rf_weighted_baseline,0.18651071331231261,0.03323021851873712,0.2333333333333333,0.4141666666666667,0.5166666666666666,0.17771393089014687,0.5925925925925926,0.19444444444444445,0.13333333333333333,False
