feature,importance
f_059,0.004413109475331984
f_103,0.003612736683237028
f_021,0.0024917788170070424
f_033,0.0023749428399640277
f_510,0.0023083819707295254
f_205,0.0022980450999961384
f_341,0.0021572545397018318
f_577,0.0018697712086931874
f_477,0.001808408081887798
f_031,0.0017284948712435297
f_064,0.0016030756216935645
f_455,0.0015726197473132882
f_333,0.0015640802668309712
f_446,0.0015409966650765908
f_175,0.0014881799719492664
f_281,0.0014760862461351998
f_183,0.001368559172126298
f_317,0.0013361736209450536
f_310,0.0013300491572735846
f_452,0.0013201586728319274
f_213,0.0013141227571510474
f_336,0.001301735745875142
f_351,0.0012863279161751126
f_129,0.001229488761123986
f_460,0.0011936623477199287
f_417,0.0011927457211633134
f_124,0.0011913856894386554
f_200,0.00118604065170732
f_102,0.0011750815720374807
f_316,0.0011659566298243928
f_488,0.001165191302360967
f_091,0.0011615384410470697
f_056,0.0011446975017306682
f_078,0.001144636138430474
f_075,0.0011441319147487724
f_065,0.0011257364414633275
f_307,0.0011165280327739965
f_130,0.0011036489380808923
f_153,0.0011005921792129486
f_459,0.0010872977112322865
f_468,0.0010592981640241608
f_076,0.001048994971053616
f_125,0.0010434543093781144
f_469,0.0010359563051628659
f_081,0.001024379299694488
f_028,0.0010197229915779832
f_287,0.000986257741812096
f_428,0.0009859205980556737
f_014,0.0009755409600677425
f_159,0.0009716854686293321
f_086,0.0009566044071591017
f_270,0.000926913547890076
f_431,0.0009230954571397904
f_497,0.0009220568046418003
f_319,0.0009125687680618452
f_377,0.0008836701498097266
f_295,0.0008600325151580121
f_208,0.0008430221216532207
f_008,0.0008427614554760352
f_344,0.0008425498391700648
f_445,0.0008370613030603364
f_182,0.0008292157646173994
f_475,0.0008274298006189966
f_090,0.0008268413999039641
f_000,0.0008265530125583483
f_066,0.0008249038383754607
f_355,0.0008139840487601574
f_563,0.0007999975582960052
f_489,0.0007994341340815004
f_522,0.0007971799487572849
f_187,0.0007949933815430749
f_286,0.0007928371190191911
f_121,0.0007843573838321135
f_160,0.0007842324072982905
f_499,0.0007825493464739245
f_309,0.0007689975877245952
f_122,0.0007686913091063595
f_144,0.0007652996768229814
f_408,0.0007599861136974681
f_095,0.0007597596031028974
f_250,0.0007596746413064629
f_561,0.0007576645427896726
f_420,0.0007547157836093535
f_137,0.0007536502366669467
f_202,0.0007492288970666435
f_152,0.0007481394781645153
f_022,0.00074192197640372
