model,mean,std,min,max
random_forest_balanced,0.2101102833986891,0.07962721911876017,0.09781658810592098,0.36865814460949725
xgboost_unweighted,0.19889798164801478,0.07375170845264412,0.0787201706539605,0.3097473521635351
random_forest_unweighted,0.1979540180729588,0.07051824994025746,0.09350696027268565,0.3660045683483183
xgboost_balanced,0.1764281833610936,0.04979627632859646,0.0902945618480657,0.25467684166779325
logistic_full_C01,0.1689864687667954,0.07042896388367881,0.0826960758016168,0.3175554506830228
logistic_top40_C01,0.1400212570521006,0.04545322351725281,0.09281266812395073,0.24296033874426762
logistic_top40_C001,0.1389868692142874,0.03842494673839537,0.09354088437963677,0.23825710990314053
isolation_forest,0.13855223316105325,0.04978736162626231,0.05971914348129221,0.23872209582208928
